Genero;Idoso;Casado;Dependentes;Tempo_como_Cliente;Servico_Celular;Servico_Internet;Servico_Seguranca;Suporte_Tecnico;Servico_TV;Tipo_Contrato;Metodo_Pagamento;Pagamento_Mensal;Total_Pago;Churn
F;False;True;False;1;False;DSL;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;29.85;29.85;False
M;False;False;False;34;True;DSL;True;False;False;ONE YEAR;MAILED CHECK;56.95;1889.5;False
M;False;False;False;2;True;DSL;True;False;False;MONTH-TO-MONTH;MAILED CHECK;53.85;108.15;True
M;False;False;False;45;False;DSL;True;True;False;ONE YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;1840.75;False
F;False;False;False;52;True;NO;True;True;True;ONE YEAR;MAILED CHECK;65.60756321839081;1022.95;False
M;False;False;True;71;True;FIBER OPTIC;True;False;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;7382.25;False
F;False;True;True;10;True;DSL;False;True;False;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);65.60756321839081;528.35;True
F;False;False;False;21;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;1862.9;False
M;True;False;False;1;False;DSL;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;39.65;True
M;False;True;False;12;True;NO;True;True;True;ONE YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;202.25;False
M;False;False;False;1;True;NO;True;True;True;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;20.15;True
F;False;True;False;58;True;DSL;False;True;False;TWO YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;3505.1;False
M;False;True;True;49;True;DSL;True;True;False;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);65.60756321839081;2970.3;False
F;False;False;False;30;True;DSL;True;False;False;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;1530.6;False
M;False;True;True;47;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;4749.15;True
M;False;True;True;1;False;DSL;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;30.2;True
M;False;True;False;72;True;DSL;True;True;True;TWO YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;6369.45;False
F;False;False;True;17;True;DSL;False;False;True;MONTH-TO-MONTH;MAILED CHECK;65.60756321839081;1093.1;True
F;True;True;False;71;True;FIBER OPTIC;True;True;False;TWO YEAR;CREDIT CARD (AUTOMATIC);65.60756321839081;6766.95;False
M;True;True;False;2;True;FIBER OPTIC;False;False;True;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);65.60756321839081;181.65;False
F;False;True;True;27;True;DSL;True;True;False;ONE YEAR;MAILED CHECK;65.60756321839081;1874.45;False
M;False;False;False;1;True;NO;True;True;True;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;20.2;False
M;True;False;False;1;True;DSL;False;False;False;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);65.60756321839081;45.25;False
F;False;True;True;72;True;FIBER OPTIC;True;True;True;TWO YEAR;BANK TRANSFER (AUTOMATIC);65.60756321839081;7251.7;False
M;False;False;False;5;True;FIBER OPTIC;False;False;False;MONTH-TO-MONTH;ELECTRONIC CHECK;65.60756321839081;316.9;True
